Ejecución,Tiempo_s
1,0.0002275000006193295
2,7.869999899412505e-05
3,9.449999924981967e-05
4,6.529999882332049e-05
5,6.039999789209105e-05
6,5.980000059935264e-05
7,5.8999998145736754e-05
8,5.880000026081689e-05
9,5.789999704575166e-05
10,5.77000027988106e-05
11,6.920000305399299e-05
12,5.909999890718609e-05
13,5.8099998568650335e-05
14,7.710000136285089e-05
15,9.449999924981967e-05
16,7.990000085555948e-05
17,6.990000110818073e-05
18,7.249999907799065e-05
19,6.149999899207614e-05
20,5.850000161444768e-05
21,5.779999992228113e-05
22,5.819999933009967e-05
23,5.729999975301325e-05
24,5.6400000175926834e-05
25,5.6000000768108293e-05
26,6.7299999500392e-05
27,5.880000026081689e-05
28,5.650000093737617e-05
29,5.5500000598840415e-05
30,5.569999848376028e-05
31,5.5599997722310945e-05
32,6.550000034621917e-05
33,6.7299999500392e-05
34,7.18000010238029e-05
35,5.8099998568650335e-05
36,5.579999924520962e-05
37,5.520000195247121e-05
38,5.449999662232585e-05
39,5.5500000598840415e-05
40,5.439999949885532e-05
41,5.5800002883188426e-05
42,5.62999994144775e-05
43,5.560000136028975e-05
44,5.579999924520962e-05
45,5.5100001191021875e-05
46,5.509999755304307e-05
47,5.450000026030466e-05
48,5.5100001191021875e-05
49,6.239999856916256e-05
50,6.800000119255856e-05
51,6.900000153109431e-05
52,6.309999662335031e-05
53,6.380000195349567e-05
54,6.219999704626389e-05
55,6.150000263005495e-05
56,6.140000186860561e-05
57,6.13999982306268e-05
58,6.0599999414989725e-05
59,6.130000110715628e-05
60,6.120000034570694e-05
61,6.10999995842576e-05
62,6.170000051497482e-05
63,6.130000110715628e-05
64,6.159999975352548e-05
65,6.0999998822808266e-05
66,7.2900002123788e-05
67,7.48999991628807e-05
68,6.270000085351057e-05
69,6.150000263005495e-05
70,6.22000006842427e-05
71,6.170000051497482e-05
72,6.129999746917747e-05
73,6.120000034570694e-05
74,6.040000153006986e-05
75,6.0500002291519195e-05
76,6.100000246078707e-05
77,6.159999975352548e-05
78,6.070000017643906e-05
79,6.049999865354039e-05
80,7.059999916236848e-05
81,9.950000094249845e-05
82,7.6299998909235e-05
83,6.260000009206124e-05
84,6.120000034570694e-05
85,6.149999899207614e-05
86,6.070000017643906e-05
87,6.13999982306268e-05
88,6.120000034570694e-05
89,6.239999856916256e-05
90,6.159999975352548e-05
91,6.13999982306268e-05
92,6.10999995842576e-05
93,6.079999729990959e-05
94,6.0599999414989725e-05
95,6.08000009378884e-05
96,9.750000026542693e-05
97,8.549999984097667e-05
98,7.209999967017211e-05
99,6.759999814676121e-05
100,6.180000127642415e-05
101,6.0999998822808266e-05
102,6.10999995842576e-05
103,6.070000017643906e-05
104,6.040000153006986e-05
105,6.0599999414989725e-05
106,6.120000034570694e-05
107,6.10999995842576e-05
108,6.0200000007171184e-05
109,8.420000085607171e-05
110,6.420000136131421e-05
111,6.120000034570694e-05
112,7.210000330815092e-05
113,6.380000195349567e-05
114,6.179999763844535e-05
115,6.130000110715628e-05
116,6.08000009378884e-05
117,6.089999806135893e-05
118,6.0900001699337736e-05
119,6.009999924572185e-05
120,6.039999789209105e-05
121,6.070000017643906e-05
122,6.039999789209105e-05
123,5.9600002714432776e-05
124,6.0599999414989725e-05
125,5.980000059935264e-05
126,6.009999924572185e-05
127,6.0599999414989725e-05
128,9.109999882639386e-05
129,0.00011549999908311293
130,8.1900001532631e-05
131,6.740000026184134e-05
132,6.340000254567713e-05
133,6.24999993306119e-05
134,6.22000006842427e-05
135,6.190000203787349e-05
136,6.120000034570694e-05
137,6.149999899207614e-05
138,6.199999916134402e-05
139,7.410000034724362e-05
140,7.480000203941017e-05
141,6.290000237640925e-05
142,8.170000000973232e-05
143,6.359999679261819e-05
144,6.209999992279336e-05
145,6.159999975352548e-05
146,6.969999958528206e-05
147,0.00010719999772845767
148,9.890000001178123e-05
149,0.00010059999840450473
150,0.00010039999688160606
151,8.910000178730115e-05
152,0.00010480000128154643
153,0.00010889999975915998
154,7.019999975454994e-05
155,6.340000254567713e-05
156,6.219999704626389e-05
157,6.159999975352548e-05
158,6.08000009378884e-05
159,6.170000051497482e-05
160,6.120000034570694e-05
161,6.0999998822808266e-05
162,6.049999865354039e-05
163,6.120000034570694e-05
164,6.229999780771323e-05
165,6.120000034570694e-05
166,6.199999916134402e-05
167,7.339999865507707e-05
168,9.349999891128391e-05
169,6.500000017695129e-05
170,6.180000127642415e-05
171,6.120000034570694e-05
172,6.100000246078707e-05
173,6.10999995842576e-05
174,6.0200000007171184e-05
175,6.08000009378884e-05
176,6.0599999414989725e-05
177,6.070000017643906e-05
178,6.089999806135893e-05
179,6.0599999414989725e-05
180,6.089999806135893e-05
181,6.130000110715628e-05
182,6.10999995842576e-05
183,6.129999746917747e-05
184,9.700000009615906e-05
185,6.539999958476983e-05
186,6.120000034570694e-05
187,6.119999670772813e-05
188,6.08000009378884e-05
189,6.0900001699337736e-05
190,6.060000305296853e-05
191,6.100000246078707e-05
192,6.030000076862052e-05
193,6.25000029685907e-05
194,6.150000263005495e-05
195,6.10999995842576e-05
196,6.179999763844535e-05
197,6.149999899207614e-05
198,6.0699996538460255e-05
199,6.910000229254365e-05
200,6.570000186911784e-05
